"name","price","type","efficiency","wattage","modular","color"
"Corsair RM750e (2023)",99.99,"ATX","gold",750,"Full","Black"
"Corsair RM850e (2023)",119.99,"ATX","gold",850,"Full","Black"
"Corsair RM1000e (2023)",159.99,"ATX","gold",1000,"Full","Black"
"Corsair RM650 (2023)",89.99,"ATX","gold",650,"Full","Black"
"MSI MAG A650BN",59,"ATX","bronze",650,"false","Black"
"MSI MAG A850GL PCIE5",89.99,"ATX","gold",850,"Full","Black"
"Corsair CX650M (2021)",79.99,"ATX","bronze",650,"Semi","Black"
"MSI MAG A550BN",49,"ATX","bronze",550,"false","Black"
"Corsair SF750",184.99,"SFX","platinum",750,"Full",""
"Corsair RM850",124.99,"ATX","gold",850,"Full","White / Black"
"Corsair RM850x (2021)",149.99,"ATX","gold",850,"Full","Black"
"Thermaltake Smart",39.06,"ATX","plus",500,"false",""
"Cooler Master MWE Gold 850 - V2",89.99,"ATX","gold",850,"Full","Black"
"Corsair RM1000x (2021)",159.99,"ATX","gold",1000,"Full","Black"
"Asus ROG THOR 1600T Gaming",699.99,"ATX","titanium",1600,"Full","Silver / Black"
"Thermaltake Smart",40.99,"ATX","plus",600,"false",""
"MSI MAG A750GL PCIE5",89,"ATX","gold",750,"Full","Black"
"MSI MAG A650GL",79.98,"ATX","gold",650,"Full","Black"
"Corsair SF850L",144.05,"SFX","gold",850,"Full","Black"
"SeaSonic FOCUS GX",74.99,"ATX","gold",750,"Full","Black"
"Apevia Galaxy",54.99,"ATX","gold",650,"Semi","Black"
"Corsair HX1500i (2023)",359.99,"ATX","platinum",1500,"Full","Black"
"SeaSonic FOCUS Plus 650 Gold",126.47,"ATX","gold",650,"Full",""
"Corsair RM750",109.99,"ATX","gold",750,"Full","White / Black"
"be quiet! Pure Power 12 M",89.9,"ATX","gold",750,"Full","Black"
"be quiet! Pure Power 12 M",99.9,"ATX","gold",850,"Full","Black"
"Gigabyte UD750GM",92.12,"ATX","gold",750,"Full","Black"
"Corsair RM750x (2021)",99.99,"ATX","gold",750,"Full","Black"
"Corsair CX750M (2021)",89.95,"ATX","bronze",750,"Semi","Black"
"Thermaltake Toughpower GF A3 Snow",119.99,"ATX","gold",850,"Full","White"
"MSI A1000G PCIE5",157.99,"ATX","gold",1000,"Full","Black"
"Corsair SF1000L",156.94,"SFX","gold",1000,"Full","Black"
"Corsair CX (2023)",74.98,"ATX","bronze",750,"false","Black"
"Silverstone HELA",622.29,"ATX","",2050,"Full","Black / White"
"Corsair CX (2023)",64.98,"ATX","bronze",650,"false","Black"
"Corsair AX1600i",609.94,"ATX","titanium",1600,"Full",""
"Apevia Prestige",51.99,"ATX","gold",600,"false","Black"
"be quiet! Dark Power 13",229.9,"ATX","titanium",1000,"Full","Black"
"EVGA 650 B5",74.99,"ATX","bronze",650,"Full","Black"
"Thermaltake Toughpower GX2",59.99,"ATX","gold",600,"false","Black"
"Corsair RMe (2023)",169.99,"ATX","gold",1200,"Full","Black"
"Cooler Master V750 SFX GOLD",104.99,"SFX","gold",750,"Full","Black"
"SeaSonic FOCUS GX-1000 ATX 3.0",139.99,"ATX","gold",1000,"Full","Black"
"EVGA 500 BR",59.99,"ATX","bronze",500,"false",""
"NZXT C850 (2022)",99.99,"ATX","gold",850,"Full","Black"
"Corsair CX (2023)",59.99,"ATX","bronze",550,"false","Black"
"Thermaltake Toughpower GF1 (2024)",94.99,"ATX","gold",850,"Full","Black"
"MSI MPG A850G PCIE5",127.88,"ATX","gold",850,"Full","Black"
"be quiet! Dark Power Pro 13",399.9,"ATX","titanium",1600,"Full","Black"
"Thermaltake Smart",59.98,"ATX","plus",700,"false",""
"SeaSonic FOCUS PLUS 850 Gold",94.99,"ATX","gold",850,"Full",""
"Corsair HX1000i (2023)",214.99,"ATX","platinum",1000,"Full","Black"
"EVGA SuperNOVA 1000 GT",139.99,"ATX","gold",1000,"Full","Black"
"Asus ROG THOR P2 Gaming",299.99,"ATX","platinum",1200,"Full","Silver / Black"
"SeaSonic FOCUS GX-850 ATX 3.0",109.99,"ATX","gold",850,"Full","Black"
"EVGA SuperNOVA 650 GM",126.66,"SFX","gold",650,"Full","Black"
"Cooler Master MWE GOLD 750 V2 FULL MODULAR",137.33,"ATX","gold",750,"Full","Black"
"ADATA XPG CORE Reactor 850",94.99,"ATX","gold",850,"Full","Black"
"Asus ROG Strix",168.99,"ATX","gold",850,"Full","White"
"be quiet! Straight Power 12",199.9,"ATX","platinum",1200,"Full","Black"
"NZXT C750 (2022)",89.99,"ATX","gold",750,"Full","Black"
"Gigabyte UD850GM",99.99,"ATX","gold",850,"Full","Black"
"SeaSonic FOCUS GX-750 ATX 3.0",89.99,"ATX","gold",750,"Full","Black"
"SeaSonic FOCUS SGX (2021)",99.99,"SFX","gold",750,"Full","Black"
"be quiet! Pure Power 11",89.28,"ATX","gold",400,"false","Black"
"be quiet! Pure Power 12 M",129.9,"ATX","gold",1000,"Full","Black"
"MSI MPG A750GF",93.99,"ATX","gold",750,"Full","Black"
"Thermaltake Toughpower GF3 Snow",179.99,"ATX","gold",1200,"Full","White"
"Cooler Master V SFX Gold ATX 3.0",114,"SFX","gold",850,"Full","Black"
"Deepcool PM750D",88.02,"ATX","gold",750,"false","Black"
"EVGA SuperNOVA 850 GT",124.99,"ATX","gold",850,"Full","Black"
"SeaSonic PRIME TX",595,"ATX","titanium",1600,"Full","Black / Silver"
"be quiet! Pure Power 12 M",79.9,"ATX","gold",650,"Full","Black"
"EVGA SuperNOVA 750 GT",114.39,"ATX","gold",750,"Full","Black"
"Lian Li SP",132.82,"SFX","gold",750,"Full","Black"
"EVGA 650BP",54.99,"ATX","bronze",650,"false","Black"
"SeaSonic FOCUS GX",129.1,"ATX","gold",650,"Full","Black"
"MSI MAG A850GL PCIE5",113.64,"ATX","gold",850,"Full","White"
"EVGA 500 W1",49.86,"ATX","plus",500,"false",""
