"name","price","socket","form_factor","max_memory","memory_slots","color"
"MSI B650 GAMING PLUS WIFI",169.99,"AM5","ATX",192,4,"Black"
"Asus ROG STRIX B650-A GAMING WIFI",199.99,"AM5","ATX",192,4,"Black / Silver"
"MSI B760 GAMING PLUS WIFI",159.99,"LGA1700","ATX",192,4,"Black / Silver"
"MSI PRO Z790-A MAX WIFI",239.99,"LGA1700","ATX",192,4,"Silver / Black"
"MSI B550 GAMING GEN3",99.99,"AM4","ATX",128,4,"Black"
"MSI B450M-A PRO MAX II",69.98,"AM4","Micro ATX",64,2,"Black"
"MSI MAG B650 TOMAHAWK WIFI",199.99,"AM5","ATX",192,4,"Black"
"Gigabyte B650 GAMING X AX",179.99,"AM5","ATX",192,4,"Black / Gray"
"Asus PRIME B550M-A WIFI II",104.99,"AM4","Micro ATX",128,4,"Blue / Silver"
"ASRock B650M Pro RS WiFi",149.99,"AM5","Micro ATX",192,4,"Black / Silver"
"ASRock B660M Pro RS",94.99,"LGA1700","Micro ATX",128,4,"Gray / Black"
"MSI PRO B650M-P",119.99,"AM5","Micro ATX",192,4,"Black / Silver"
"Asus TUF GAMING Z790-PRO WIFI",279.99,"LGA1700","ATX",192,4,"Black"
"MSI MAG X670E TOMAHAWK WIFI",259.99,"AM5","ATX",192,4,"Black"
"MSI PRO Z790-P WIFI",199.99,"LGA1700","ATX",192,4,"Black / Silver"
"MSI MAG B550 TOMAHAWK MAX WIFI",159.99,"AM4","ATX",128,4,"Silver / Black"
"Asus ROG STRIX B550-F GAMING WIFI II",189.99,"AM4","ATX",128,4,"Black / Red"
"MSI PRO B650M-A WIFI",156.99,"AM5","Micro ATX",192,4,"Black"
"ASRock B650I Lightning Wifi",199.99,"AM5","Mini ITX",96,2,"Black"
"MSI B550M PRO-VDH WIFI",99.99,"AM4","Micro ATX",128,4,"Black"
"MSI PRO B650-S WIFI",139.99,"AM5","ATX",192,4,"Black"
"Gigabyte B650 EAGLE AX",169.99,"AM5","ATX",192,4,"Gray / Black"
"Asus ROG STRIX B650E-F GAMING WIFI",259.99,"AM5","ATX",192,4,"Black"
"Gigabyte B650 AORUS ELITE AX ICE",229.99,"AM5","ATX",192,4,"Silver"
"Asus ROG MAXIMUS Z790 DARK HERO",579.99,"LGA1700","ATX",192,4,"Black"
"Asus Prime B450M-A II",69.98,"AM4","Micro ATX",128,4,""
"Gigabyte B650 AORUS ELITE AX",199.99,"AM5","ATX",192,4,"Black / Silver"
"Asus PRIME B760-PLUS",129.99,"LGA1700","ATX",192,4,"Black / Silver"
"Gigabyte B550M K",94.99,"AM4","Micro ATX",128,4,"Brown / Silver"
"MSI MAG Z790 TOMAHAWK WIFI",209.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte X670E AORUS PRO X",299.99,"AM5","ATX",192,4,"White / Silver"
"Asus ROG STRIX Z790-A GAMING WIFI II",335.99,"LGA1700","ATX",192,4,"Black / Silver"
"Gigabyte Z790 AORUS ELITE AX",219.99,"LGA1700","ATX",192,4,"Black"
"ASRock B450M-HDV R4.0",59.99,"AM4","Micro ATX",32,2,"Black / White"
"MSI PRO B550M-VC WIFI",116.55,"AM4","Micro ATX",128,4,"Black"
"MSI PRO B760-P WIFI DDR4",139.99,"LGA1700","ATX",128,4,"Black"
"Asus TUF GAMING B650-PLUS WIFI",199.99,"AM5","ATX",128,4,"Black"
"Gigabyte B550 UD AC",99.99,"AM4","ATX",128,4,"Brown / Black"
"Asus ROG STRIX B650E-I GAMING WIFI",299.99,"AM5","Mini ITX",96,2,"Black"
"Asus ROG STRIX Z790-E GAMING WIFI II",427.99,"LGA1700","ATX",192,4,"Black"
"MSI B550-A PRO",109.99,"AM4","ATX",128,4,"Black / Silver"
"MSI PRO A620M-E",74.95,"AM5","Micro ATX",96,2,"Black"
"MSI PRO H610M-G DDR4",79.99,"LGA1700","Micro ATX",64,2,"Black / Silver"
"ASRock B650M Pro RS",134.99,"AM5","Micro ATX",192,4,"Black / Silver"
"MSI PRO Z690-A WIFI",149.99,"LGA1700","ATX",192,4,"Black / Silver"
"Asus ROG STRIX B760-I GAMING WIFI",199.99,"LGA1700","Mini ITX",96,2,"Black"
"ASRock B550M Pro4",99.99,"AM4","Micro ATX",128,4,"Silver / Black"
"Gigabyte A520I AC",109.99,"AM4","Mini ITX",64,2,"Black"
"ASRock B450M/ac R2.0",77.66,"AM4","Micro ATX",128,4,"Black / Silver"
"MSI B450M PRO-VDH MAX",74.99,"AM4","Micro ATX",64,4,"Black / Silver"
"ASRock B760M-HDV/M.2",119.99,"LGA1700","Micro ATX",96,2,"White / Black"
"Gigabyte B760M DS3H DDR4",99.99,"LGA1700","Micro ATX",128,4,"Black"
"Asus TUF GAMING B550-PLUS WIFI II",134,"AM4","ATX",128,4,"Black / Gray"
"Gigabyte B650M D3HP",119.99,"AM5","Micro ATX",192,4,"Black"
"MSI PRO B650-P WIFI",162.99,"AM5","ATX",192,4,"Black"
"Asus ROG STRIX B550-A GAMING",171.99,"AM4","ATX",128,4,"Black / White"
"Asus TUF GAMING A520M-PLUS WIFI",97.99,"AM4","Micro ATX",128,4,"Black / Orange"
"Gigabyte B650 GAMING X AX V2",184.99,"AM5","ATX",192,4,"Gray / Black"
"Asus ROG STRIX X670E-E GAMING WIFI",449.99,"AM5","ATX",192,4,"Black / Silver"
"Asus ROG MAXIMUS Z790 FORMULA",749.99,"LGA1700","ATX",192,4,"Silver / Black"
"NZXT N7 B650E",279.99,"AM5","ATX",128,4,"White"
"ASRock Z690M-ITX/ax",134.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"Gigabyte B550M AORUS ELITE AX",99.99,"AM4","Micro ATX",128,4,"Black / Silver"
"MSI MPG B550 GAMING PLUS",131,"AM4","ATX",128,4,"Black"
"Gigabyte B550 AORUS ELITE AX V2",139.99,"AM4","ATX",128,4,"Black / Silver"
"ASRock A620I LIGHTNING WIFI",139.99,"AM5","Mini ITX",96,2,"Black"
"Gigabyte B650M AORUS ELITE AX",189.99,"AM5","Micro ATX",192,4,"Black"
"Gigabyte B450M DS3H WIFI",88.98,"AM4","Micro ATX",128,4,"Brown / Black"
"Asus TUF GAMING X570-PLUS (WI-FI)",193.99,"AM4","ATX",128,4,"Black / Gold"
"ASRock B760M-H/M.2",89.99,"LGA1700","Micro ATX",96,2,"Silver / Black"
"Asus TUF GAMING X670E-PLUS WIFI",269.99,"AM5","ATX",192,4,"Black / Orange"
"ASRock B650M-HDV/M.2",150.71,"AM5","Micro ATX",96,2,"Silver / Black"
"MSI MPG B650I EDGE WIFI",261.33,"AM5","Mini ITX",96,2,"Black / Silver"
"Gigabyte B650I AORUS ULTRA",259.99,"AM5","Mini ITX",96,2,"Black / Silver"
"Gigabyte B550 GAMING X V2",92.99,"AM4","ATX",128,4,"Black"
